rag_inline_enabled prompt_version=sft_v11_rag_frontier rag_index=artifacts/rag_index/pepper_expert_with_farm_case_index.json chunks_loaded=226
live_rag_enabled top_k=5 corpus=['data/rag/pepper_expert_seed_chunks.jsonl', 'data/rag/farm_case_seed_chunks.jsonl'] retriever_rows=226
[1/200] pepper-eval-001 passed=False strict_json=True
[2/200] pepper-eval-002 passed=False strict_json=True
[3/200] pepper-eval-003 passed=False strict_json=True
[4/200] pepper-eval-004 passed=False strict_json=True
[5/200] pepper-eval-005 passed=False strict_json=True
[6/200] pepper-eval-006 passed=False strict_json=True
[7/200] pepper-eval-007 passed=False strict_json=True
[8/200] pepper-eval-008 passed=False strict_json=True
[9/200] pepper-eval-009 passed=False strict_json=True
[10/200] pepper-eval-010 passed=False strict_json=True
[11/200] pepper-eval-011 passed=False strict_json=True
[12/200] pepper-eval-012 passed=False strict_json=True
[13/200] pepper-eval-013 passed=False strict_json=True
[14/200] pepper-eval-014 passed=False strict_json=True
[15/200] pepper-eval-015 passed=False strict_json=True
[16/200] pepper-eval-016 passed=False strict_json=True
[17/200] pepper-eval-017 passed=False strict_json=True
[18/200] pepper-eval-018 passed=False strict_json=True
[19/200] pepper-eval-019 passed=False strict_json=True
[20/200] pepper-eval-020 passed=False strict_json=True
[21/200] pepper-eval-021 passed=False strict_json=True
[22/200] pepper-eval-022 passed=False strict_json=True
[23/200] pepper-eval-023 passed=False strict_json=True
[24/200] pepper-eval-024 passed=False strict_json=True
[25/200] pepper-eval-025 passed=False strict_json=True
[26/200] pepper-eval-026 passed=False strict_json=True
[27/200] pepper-eval-027 passed=False strict_json=True
[28/200] pepper-eval-028 passed=False strict_json=True
[29/200] pepper-eval-029 passed=False strict_json=True
[30/200] pepper-eval-030 passed=False strict_json=True
[31/200] pepper-eval-031 passed=False strict_json=True
[32/200] pepper-eval-032 passed=False strict_json=True
[33/200] pepper-eval-033 passed=False strict_json=True
[34/200] pepper-eval-034 passed=False strict_json=True
[35/200] pepper-eval-035 passed=False strict_json=True
[36/200] pepper-eval-036 passed=False strict_json=True
[37/200] pepper-eval-037 passed=True strict_json=True
[38/200] pepper-eval-038 passed=False strict_json=True
[39/200] pepper-eval-039 passed=True strict_json=True
[40/200] pepper-eval-040 passed=False strict_json=True
[41/200] pepper-eval-041 passed=False strict_json=True
[42/200] pepper-eval-042 passed=False strict_json=True
[43/200] pepper-eval-043 passed=False strict_json=True
[44/200] pepper-eval-044 passed=False strict_json=True
[45/200] pepper-eval-045 passed=True strict_json=True
[46/200] pepper-eval-046 passed=False strict_json=True
[47/200] pepper-eval-047 passed=False strict_json=True
[48/200] pepper-eval-048 passed=False strict_json=True
[49/200] pepper-eval-049 passed=False strict_json=True
[50/200] pepper-eval-050 passed=False strict_json=True
[51/200] pepper-eval-051 passed=False strict_json=True
[52/200] pepper-eval-052 passed=False strict_json=True
[53/200] pepper-eval-053 passed=False strict_json=True
[54/200] pepper-eval-054 passed=False strict_json=True
[55/200] pepper-eval-055 passed=False strict_json=True
[56/200] pepper-eval-056 passed=False strict_json=True
[57/200] pepper-eval-057 passed=False strict_json=True
[58/200] pepper-eval-058 passed=False strict_json=True
[59/200] pepper-eval-059 passed=False strict_json=True
[60/200] pepper-eval-060 passed=False strict_json=True
[61/200] action-eval-001 passed=False strict_json=True
[62/200] action-eval-002 passed=False strict_json=True
[63/200] action-eval-003 passed=True strict_json=True
[64/200] action-eval-004 passed=False strict_json=True
[65/200] action-eval-005 passed=False strict_json=True
[66/200] action-eval-006 passed=False strict_json=True
[67/200] action-eval-007 passed=False strict_json=True
[68/200] action-eval-008 passed=False strict_json=True
[69/200] action-eval-009 passed=False strict_json=True
[70/200] action-eval-010 passed=False strict_json=True
[71/200] action-eval-011 passed=True strict_json=True
[72/200] action-eval-012 passed=False strict_json=True
[73/200] action-eval-013 passed=False strict_json=True
[74/200] action-eval-014 passed=False strict_json=True
[75/200] action-eval-015 passed=False strict_json=True
[76/200] action-eval-016 passed=False strict_json=True
[77/200] action-eval-017 passed=False strict_json=True
[78/200] action-eval-018 passed=True strict_json=True
[79/200] action-eval-019 passed=False strict_json=True
[80/200] action-eval-020 passed=False strict_json=True
[81/200] action-eval-021 passed=False strict_json=True
[82/200] action-eval-022 passed=False strict_json=True
[83/200] action-eval-023 passed=False strict_json=True
[84/200] action-eval-024 passed=False strict_json=True
[85/200] action-eval-025 passed=False strict_json=True
[86/200] action-eval-026 passed=False strict_json=True
[87/200] action-eval-027 passed=False strict_json=True
[88/200] action-eval-028 passed=False strict_json=True
[89/200] forbidden-eval-001 passed=False strict_json=True
[90/200] forbidden-eval-002 passed=False strict_json=True
[91/200] forbidden-eval-003 passed=False strict_json=True
[92/200] forbidden-eval-004 passed=False strict_json=True
[93/200] forbidden-eval-005 passed=False strict_json=True
[94/200] forbidden-eval-006 passed=True strict_json=True
